program	display_program	new_P	name_short	dominant_class	dominant_subclass	annotation_class	display_marker	lead_genes
17	16	P16	Axon guidance / synaptic adhesion	exc	L3-L4 IT RORB	class_a	0	TSHZ2;FSHR;GABRG1;DCC;SCHLAP1;RARB;TOX;IL1RAPL2
20	17	P17	Glutamate-receptor signaling	inh	SST	class_a	0	SLC9A2;ADGRG6;NMU;GRIK1;MCUB;ROBO1;PROM1;OTOF
21	18	P18	Reg. trans-synaptic signaling	inh	SST	class_b	1	SGCZ;SYTL5;CALB1;CDH12;KIRREL3;HPGD;GRIK1;KIF26B
22	19	P19	Axon guidance/neural crest	exc	L6 CT	class_a	0	SEMA3E;HS3ST4;ADAMTSL1;TRPM3;EGFEM1P;ASIC2;FOXP2;TLE4
23	20	P20	Heteroph. cell adhesion	inh	VIP	class_b	1	KMO;THSD7A;SHISA8;SCTR;HTR1E;IGFBP5;SEZ6;GPR149
24	21	P21	Synaptic-vesicle exocytosis (inh)	inh	VIP	class_a	0	SLC32A1;CALY;ATP1B1;HSP90AB1;ATP6V0C;ATP1A3;VAMP2;ARL4C
25	22	P22	Neuropeptide signaling (exc)	exc	L4-L5 IT RORB	class_a	0	EPHA3;TOX;RXFP1;NPFFR2;DACH1;CPNE4;IL1RAPL2;CCDC85A
26	23	P23	Reg. myelination	glia	OLIGO	class_a	0	SLC5A11;LRRC63;DPYSL5;PCSK6;LRP2;CDK18;MVB12B;MOBP
27	24	P24	Mixed/low-specificity	exc	L3-L4 IT RORB	class_b	1	RMST;COL22A1;PLCH1;OTOGL;IZUMO3;MYLK;ADAMTS16;CPNE4
28	25	P25	Voltage-gated ion channels	inh	PVALB	class_b	1	WNT16;MEPE;HGF;SLIT2;PLCE1;KCNC2;TRPC4;CHRM2
29	26	P26	Glutamate-receptor (postsyn.) a	inh	LAMP5	class_b	1	KIT;FGF13;PRELID2;PKP2;UNC13C;PTCHD4;FBXL7;CPLX3
30	27	P27	Body fluid secretion	inh	VIP	class_b	1	VIP;IQGAP2;LAMA3;CHRNA2;SLC22A3;TAC3;ABI3BP;PTHLH
31	28	P28	Axon guidance / cell adhesion (L6b)	exc	L6B	class_a	0	MDFIC;SEMA3D;CCN2;LRAT;PCSK5;NPFFR2;TLE4;HS3ST4
32	29	P29	Ionotropic glutamate receptors	inh	SST	class_b	1	TRHDE;TRPC6;GRIN3A;SAMD5;PAWR;KCNMB2;QRFPR;CDH9
33	30	P30	Acetylcholine receptor signaling	inh	PAX6	class_a	0	CNR1;CHRNA7;SP8;CCK;WWP1;ADARB2;PLS3;CHRNA6
34	31	P31	Activity-dependent IEG	exc	L6 IT	class_a	0	HOMER1;BDNF;NR4A3;NR4A1;PCSK1;NPAS4;ARC;EGR1
36	32	P32	Oligodendrocyte (diffuse)	glia	OLIGO	class_b	1	CEDORA;PALM2AKAP2;ADAMTS18;RFFL;TMEFF1;DBNDD2;ARAP2;MKRN3
37	33	P33	Oligodendrocyte/myelin	glia	OLIGO	class_a	0	CERCAM;CD22;ABCA2;PHLDB1;CDK18;POLR2F;PLEKHG3;MYRF
38	34	P34	Oligodendrocyte diff.	glia	OPC	class_a	0	OLIG1;PTPRZ1;VCAN;DSCAM;BCAN;OLIG2;GPR17;FMO6P
39	35	P35	Synaptic adhesion & assembly	inh	NDNF	class_b	1	THSD7B;DACH2;PCDH18;ARHGAP18;SDK1;PTGFR;FAT4;PLD5
40	36	P36	Microglial immune activation	nonneuron	MICRO	class_a	0	PLXDC2;SYNDIG1;DOCK8;DOCK4;ST6GAL1;ABCC4;INPP5D;APBB1IP
41	37	P37	Calcium ion homeostasis	exc	NP	class_b	1	HTR2C;CD200R1L;CD36;ITGA8;TSHZ2;NPSR1;CDH6;ADAMTS12
42	38	P38	Reg. secretion by cell	exc	L6 CAR3	class_b	1	SMYD1;NTNG2;POSTN;OLFML2B;NR4A2;SNTB1;MCTP2;NWD2
43	39	P39	ECM/OPC proteoglycan	glia	OPC	class_a	0	MYT1;TNR;XYLT1;LHFPL3;EPN2;COL20A1;PCDH15;DISC1
44	40	P40	L-glutamate transport	glia	AST	class_a	0	COL5A3;NDRG2;PRODH;MMD2;LCNL1;RAPGEF3;MICALL2;NFATC4
45	41	P41	Myelination	glia	OLIGO	class_a	0	RNASE1;CRYAB;SELENOP;PPP1R14A;FTH1;SPP1;CNP;MAG
46	42	P42	Pos. reg. vasoconstriction	inh	NDNF	class_b	1	RELN;NDNF;INPP4B;HS3ST5;CXCL14;FREM1;BMP6;TOX3
47	43	P43	Glutamate-receptor (postsyn.) b	inh	LAMP5	class_b	1	CHST9;PDGFD;SFTA3;SFRP1;NKX2-1;EYA4;UNC5D;KIRREL1
48	44	P44	Sprouting angiogenesis	exc	ET	class_a	0	VAT1L;SLC66A1LP;CSN1S1;GABRQ;OR51E2;CHST8;ATP6V1C2;KCNN2
49	45	P45	Microglial immune adhesion	nonneuron	MICRO	class_a	0	LRMDA;LNCAROD;MSR1;DLEU1;RASGEF1C;TBXAS1;MICOS10;VSIR
50	46	P46	ECM organization	inh	CHANDELIER	class_a	0	COL15A1;CA8;NPNT;ZNF385D;CNTN5;TAFA4;NOG;ALK
51	47	P47	Reactive astrocyte/vascular	glia	AST	class_a	0	GFAP;TNC;WDR49;ENTREP1;ID3;RASL12;DCLK2;ITGB4
53	48	P48	Astrocyte metal homeostasis	glia	AST	class_a	0	CST3;APOE;AGT;CLU;GJB6;MT3;CLDN10;HEPN1
54	49	P49	Microglial complement/MHC	nonneuron	MICRO	class_a	0	C1QC;C1QB;C1QA;FAM177B;HLA-DRA;CYBA;HLA-DPA1;GPR34
55	50	P50	Reg. endoth. chemotaxis	vascular	VLMC	class_b	1	CARMN;NOTCH3;SLC6A12;SLC19A1;COLEC12;ITIH5;EBF1;COL1A2
56	51	P51	Blood vessel morphogenesis	vascular	ENDO	class_a	0	ABCG2;ABCB1;CD34;GPCPD1;LEF1;ATP10A;TM4SF18;ST8SIA6
58	52	P52	Neuropeptide signaling (inh)	inh	SST	class_a	0	NPY;NOS1;CRHBP;SST;MPPED2;TACR1;NDST4;SOX2-OT
59	53	P53	Blood vessel morphog. (vasc.)	vascular	ENDO	class_a	0	FOXF1;APOLD1;TGM2;CLDN5;EMP1;SLC2A1;DUSP1;MT2A
60	54	P54	Microglial chemokine signaling	nonneuron	MICRO	class_a	0	LILRB5;CCL8;FCGR2B;MS4A4A;CCL3L3;CCL3;MS4A6A;CCL2
